0:0:0:0:0:0:0:1 - - [16/May/2018:18:09:18 -0500] "GET /AvanceWeb/registraComputadora.jsp HTTP/1.1" 200 6234
0:0:0:0:0:0:0:1 - - [16/May/2018:18:09:18 -0500] "GET /AvanceWeb/js/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:18:09:18 -0500] "GET /AvanceWeb/js/dataTables.bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:18:09:18 -0500] "GET /AvanceWeb/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:18:09:18 -0500] "GET /AvanceWeb/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:18:09:18 -0500] "GET /AvanceWeb/js/bootstrapValidator.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:18:09:18 -0500] "GET /AvanceWeb/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:18:09:18 -0500] "GET /AvanceWeb/css/dataTables.bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:18:09:18 -0500] "GET /AvanceWeb/css/bootstrapValidator.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:18:09:18 -0500] "GET /AvanceWeb/cargaMarca HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [16/May/2018:18:09:26 -0500] "GET /AvanceWeb/registraComputadora.jsp HTTP/1.1" 200 6234
0:0:0:0:0:0:0:1 - - [16/May/2018:18:09:26 -0500] "GET /AvanceWeb/cargaMarca HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [16/May/2018:18:09:27 -0500] "GET /AvanceWeb/registraComputadora.jsp HTTP/1.1" 200 6234
0:0:0:0:0:0:0:1 - - [16/May/2018:18:09:27 -0500] "GET /AvanceWeb/cargaMarca HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [16/May/2018:18:09:29 -0500] "GET /AvanceWeb/registraComputadora.jsp HTTP/1.1" 200 6234
0:0:0:0:0:0:0:1 - - [16/May/2018:18:09:29 -0500] "GET /AvanceWeb/cargaMarca HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [16/May/2018:18:09:29 -0500] "GET /AvanceWeb/registraComputadora.jsp HTTP/1.1" 200 6234
0:0:0:0:0:0:0:1 - - [16/May/2018:18:09:29 -0500] "GET /AvanceWeb/cargaMarca HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [16/May/2018:18:09:29 -0500] "GET /AvanceWeb/registraComputadora.jsp HTTP/1.1" 200 6234
0:0:0:0:0:0:0:1 - - [16/May/2018:18:09:29 -0500] "GET /AvanceWeb/cargaMarca HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [16/May/2018:18:09:29 -0500] "GET /AvanceWeb/registraComputadora.jsp HTTP/1.1" 200 6234
0:0:0:0:0:0:0:1 - - [16/May/2018:18:09:29 -0500] "GET /AvanceWeb/cargaMarca HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [16/May/2018:18:09:30 -0500] "GET /AvanceWeb/registraComputadora.jsp HTTP/1.1" 200 6234
0:0:0:0:0:0:0:1 - - [16/May/2018:18:09:30 -0500] "GET /AvanceWeb/cargaMarca HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [16/May/2018:18:09:30 -0500] "GET /AvanceWeb/registraComputadora.jsp HTTP/1.1" 200 6234
0:0:0:0:0:0:0:1 - - [16/May/2018:18:09:30 -0500] "GET /AvanceWeb/cargaMarca HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [16/May/2018:18:09:45 -0500] "GET /AvanceWeb/registraComputadora.jsp HTTP/1.1" 200 5756
0:0:0:0:0:0:0:1 - - [16/May/2018:18:09:45 -0500] "GET /AvanceWeb/cargaMarca HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [16/May/2018:18:09:53 -0500] "GET /AvanceWeb/registraComputadora.jsp HTTP/1.1" 200 5765
0:0:0:0:0:0:0:1 - - [16/May/2018:18:09:53 -0500] "GET /AvanceWeb/cargaMarca HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [16/May/2018:18:13:10 -0500] "GET /AvanceWeb/registraComputadora.jsp HTTP/1.1" 200 5951
0:0:0:0:0:0:0:1 - - [16/May/2018:18:13:10 -0500] "GET /AvanceWeb/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:18:13:10 -0500] "GET /AvanceWeb/js/dataTables.bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:18:13:10 -0500] "GET /AvanceWeb/js/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:18:13:10 -0500] "GET /AvanceWeb/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:18:13:10 -0500] "GET /AvanceWeb/js/bootstrapValidator.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:18:13:10 -0500] "GET /AvanceWeb/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:18:13:10 -0500] "GET /AvanceWeb/css/dataTables.bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:18:13:10 -0500] "GET /AvanceWeb/css/bootstrapValidator.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:18:13:11 -0500] "GET /AvanceWeb/cargaMarca HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [16/May/2018:18:16:27 -0500] "GET /AvanceWeb/registraComputadora.jsp HTTP/1.1" 200 6146
0:0:0:0:0:0:0:1 - - [16/May/2018:18:16:27 -0500] "GET /AvanceWeb/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:18:16:27 -0500] "GET /AvanceWeb/js/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:18:16:27 -0500] "GET /AvanceWeb/js/bootstrapValidator.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:18:16:27 -0500] "GET /AvanceWeb/js/dataTables.bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:18:16:27 -0500] "GET /AvanceWeb/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:18:16:27 -0500] "GET /AvanceWeb/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:18:16:27 -0500] "GET /AvanceWeb/css/dataTables.bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:18:16:27 -0500] "GET /AvanceWeb/css/bootstrapValidator.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:18:16:28 -0500] "GET /AvanceWeb/cargaMarca HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [16/May/2018:18:16:28 -0500] "GET /AvanceWeb/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [16/May/2018:18:16:28 -0500] "GET /AvanceWeb/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 200 23424
0:0:0:0:0:0:0:1 - - [16/May/2018:18:16:40 -0500] "GET /AvanceWeb/registraComputadora.jsp HTTP/1.1" 200 6146
0:0:0:0:0:0:0:1 - - [16/May/2018:18:16:41 -0500] "GET /AvanceWeb/cargaMarca HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [16/May/2018:18:19:15 -0500] "GET /AvanceWeb/registraComputadora.jsp HTTP/1.1" 200 6146
0:0:0:0:0:0:0:1 - - [16/May/2018:18:19:15 -0500] "GET /AvanceWeb/cargaMarca HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [16/May/2018:18:19:20 -0500] "GET /AvanceWeb/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [16/May/2018:18:19:30 -0500] "GET /AvanceWeb/registraComputadora.jsp HTTP/1.1" 200 6146
0:0:0:0:0:0:0:1 - - [16/May/2018:18:19:31 -0500] "GET /AvanceWeb/cargaMarca HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [16/May/2018:18:19:32 -0500] "GET /AvanceWeb/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [16/May/2018:18:19:33 -0500] "GET /AvanceWeb/registraComputadora.jsp HTTP/1.1" 200 6146
0:0:0:0:0:0:0:1 - - [16/May/2018:18:19:33 -0500] "GET /AvanceWeb/cargaMarca HTTP/1.1" 200 84
